,Cannonball
1252,186
1253,186
1254,186
1255,186
1256,186
1257,186
1258,186
1259,186
1260,186
1261,186
1262,186
1263,186
1264,186
1265,186
1266,186
1267,186
1268,185
1269,185
1270,185
1271,185
1272,185
1273,183
1274,183
1275,183
1276,183
1277,183
1278,182
1279,182
1280,182
1281,182
1282,182
1283,181
1284,181
1285,181
1286,181
1287,181
1288,181
1289,181
1290,181
1291,181
1292,181
1293,180
1294,180
1295,180
1296,180
1297,180
1298,181
1299,181
1300,182
1301,182
1302,182
1303,182
1304,182
1305,183
1306,183
1307,183
1308,184
1309,184
1310,184
1311,184
1312,184
1313,185
1314,185
1315,185
1316,185
1317,185
1318,185
1319,185
1320,185
1321,185
1322,185
1323,185
1324,185
1325,185
1326,185
1327,185
1328,185
1329,185
1330,185
1331,185
1332,185
1333,185
1334,185
1335,185
1336,185
1337,185
1338,185
1339,185
1340,184
1341,184
1342,184
1343,185
1344,185
1345,184
1346,184
1347,184
1348,184
1349,184
1350,183
1351,183
1352,183
1353,183
1354,183
1355,183
1356,183
1357,183
1358,183
1359,183
1360,183
1361,183
1362,183
1363,183
1364,183
1365,184
1366,184
1367,184
1368,184
1369,184
1370,184
1371,184
1372,184
1373,184
1374,184
1375,184
1376,184
1377,184
1378,185
1379,185
1380,184
1381,184
1382,184
1383,185
1384,185
1385,185
1386,185
1387,185
1388,186
1389,186
1390,185
1391,185
1392,185
1393,185
1394,185
1395,185
1396,185
1397,185
1398,185
1399,185
1400,184
1401,184
1402,184
1403,184
1404,184
1405,184
1406,184
1407,184
1408,184
1409,184
1410,185
1411,185
1412,185
1413,185
1414,185
1415,185
1416,185
1417,185
1418,185
1419,185
1420,185
1421,185
1422,185
1423,185
1424,185
1425,186
1426,186
1427,186
1428,186
1429,186
1430,186
1431,186
1432,186
1433,186
1434,186
1435,186
1436,186
1437,186
1438,185
1439,185
1440,185
1441,185
1442,185
1443,184
1444,184
1445,184
1446,184
1447,184
1448,185
1449,185
1450,185
1451,185
1452,185
1453,185
1454,185
1455,185
1456,185
1457,185
1458,185
1459,185
1460,185
1461,185
1462,185
1463,186
1464,186
1465,186
1466,186
1467,186
1468,186
1469,186
1470,187
1471,187
1472,187
1473,187
1474,187
1475,188
1476,188
1477,188
1478,189
1479,189
1480,188
1481,188
1482,188
1483,188
1484,188
1485,188
1486,188
1487,188
1488,188
1489,188
1490,187
1491,187
1492,187
1493,187
1494,187
1495,187
1496,187
1497,187
1498,187
1499,187
1500,186
1501,186
1502,186
1503,186
1504,186
1505,185
1506,185
1507,185
1508,184
1509,184
1510,184
1511,184
1512,184
1513,184
1514,184
1515,183
1516,183
1517,183
1518,184
1519,184
1520,185
1521,185
1522,185
1523,185
1524,185
1525,185
1526,185
1527,185
1528,185
1529,185
1530,185
1531,185
1532,185
1533,186
1534,186
1535,185
1536,185
1537,185
1538,185
1539,185
1540,185
1541,185
1542,185
1543,185
1544,185
1545,186
1546,186
1547,186
1548,185
1549,185
1550,186
1551,186
1552,186
1553,186
1554,186
1555,186
1556,186
1557,186
1558,186
1559,186
1560,186
1561,186
1562,186
1563,186
1564,186
1565,185
1566,185
1567,185
1568,185
1569,185
1570,185
1571,185
1572,185
1573,184
1574,184
1575,184
1576,184
1577,184
1578,184
1579,184
1580,183
1581,183
1582,183
1583,182
1584,182
1585,183
1586,183
1587,183
1588,183
1589,183
1590,183
1591,183
1592,183
1593,183
1594,183
1595,183
1596,183
1597,183
1598,183
1599,183
1600,183
1601,183
1602,183
1603,183
1604,183
1605,182
1606,182
1607,182
1608,182
1609,182
1610,183
1611,183
1612,183
1613,183
1614,183
1615,183
1616,183
1617,183
1618,183
1619,183
1620,183
1621,183
1622,183
1623,183
1624,183
1625,184
1626,184
1627,184
1628,184
1629,184
1630,185
1631,185
1632,185
1633,186
1634,186
1635,186
1636,186
1637,186
1638,186
1639,186
1640,186
1641,186
1642,186
1643,186
1644,186
1645,186
1646,186
1647,186
1648,186
1649,186
1650,185
1651,185
1652,185
1653,186
1654,186
1655,185
1656,185
1657,185
1658,185
1659,185
1660,184
1661,184
1662,184
1663,184
1664,184
1665,183
1666,183
1667,183
1668,183
1669,183
1670,183
1671,183
1672,183
1673,183
1674,183
1675,183
1676,183
1677,183
1678,183
1679,183
1680,183
1681,183
1682,183
1683,183
1684,183
1685,184
1686,184
1687,184
1688,184
1689,184
1690,184
1691,184
1692,184
1693,184
1694,184
1695,184
1696,184
1697,184
1698,184
1699,184
1700,183
1701,183
1702,183
1703,183
1704,183
1705,184
1706,184
1707,184
1708,185
1709,185
1710,185
1711,185
1712,185
1713,184
1714,184
1715,184
1716,184
1717,184
1718,184
1719,184
1720,184
1721,184
1722,184
1723,184
1724,184
1725,184
1726,184
1727,184
1728,184
1729,184
1730,185
1731,185
1732,185
1733,185
1734,185
1735,185
1736,185
1737,185
1738,184
1739,184
1740,185
1741,185
1742,185
1743,184
1744,184
1745,185
1746,185
1747,185
1748,184
1749,184
1750,184
1751,184
1752,184
1753,185
1754,185
1755,184
1756,184
1757,184
1758,184
1759,184
1760,184
1761,184
1762,184
1763,184
1764,184
1765,184
1766,184
1767,184
1768,183
1769,183
1770,183
1771,183
1772,183
1773,183
1774,183
1775,183
1776,183
1777,183
1778,184
1779,184
1780,184
1781,184
1782,184
1783,184
1784,184
1785,184
1786,184
1787,184
1788,184
1789,184
1790,185
1791,185
1792,185
1793,185
1794,185
1795,185
1796,185
1797,185
1798,185
1799,185
1800,185
1801,185
1802,185
1803,185
1804,185
1805,185
1806,185
1807,185
1808,186
1809,186
1810,186
1811,186
1812,186
1813,187
1814,187
1815,187
1816,187
1817,187
1818,187
1819,187
1820,187
1821,187
1822,187
1823,187
1824,187
1825,187
1826,187
1827,187
1828,187
1829,187
1830,187
1831,187
1832,187
1833,188
1834,188
1835,188
1836,188
1837,188
1838,187
1839,187
1840,187
1841,187
1842,187
1843,186
1844,186
1845,186
1846,186
1847,186
1848,186
1849,186
1850,186
1851,186
1852,186
1853,186
1854,186
1855,185
1856,185
1857,185
1858,185
1859,185
1860,184
1861,184
1862,184
1863,184
1864,184
1865,184
1866,184
1867,184
1868,184
1869,184
1870,184
1871,184
1872,184
1873,184
1874,184
1875,184
1876,184
1877,184
1878,184
1879,184
1880,185
1881,185
1882,185
1883,184
1884,184
1885,184
1886,184
1887,184
1888,184
1889,184
1890,184
1891,184
1892,184
1893,184
1894,184
1895,184
1896,184
1897,184
1898,185
1899,185
1900,185
1901,185
1902,185
1903,184
1904,184
1905,184
1906,184
1907,184
1908,184
1909,184
1910,184
1911,184
1912,184
1913,185
1914,185
1915,185
1916,185
1917,185
1918,185
1919,185
1920,186
1921,186
1922,186
1923,186
1924,186
1925,185
1926,185
1927,185
1928,186
1929,186
1930,186
1931,186
1932,186
1933,186
1934,186
1935,186
1936,186
1937,186
1938,186
1939,186
1940,185
1941,185
1942,185
1943,185
1944,185
1945,185
1946,185
1947,185
1948,184
1949,184
1950,183
1951,183
1952,183
1953,183
1954,183
1955,183
1956,183
1957,183
1958,183
1959,183
1960,183
1961,183
1962,183
1963,183
1964,183
1965,183
1966,183
1967,183
1968,183
1969,183
1970,183
1971,183
1972,183
1973,183
1974,183
1975,183
1976,183
1977,183
1978,183
1979,183
1980,184
1981,184
1982,184
1983,184
1984,184
1985,184
1986,184
1987,184
1988,184
1989,184
1990,183
1991,183
1992,183
1993,183
1994,183
1995,183
1996,183
1997,183
1998,183
1999,183
2000,183
2001,183
2002,183
2003,183
2004,183
2005,182
2006,182
2007,182
2008,183
2009,183
2010,183
2011,183
2012,183
2013,182
2014,182
2015,183
2016,183
2017,183
2018,183
2019,183
2020,183
2021,183
2022,183
2023,183
2024,183
2025,183
2026,183
2027,183
2028,183
2029,183
2030,183
2031,183
2032,183
2033,183
2034,183
2035,184
2036,184
2037,184
2038,184
2039,184
2040,184
2041,184
2042,184
2043,184
2044,184
2045,184
2046,184
2047,184
2048,185
2049,185
2050,185
2051,185
2052,185
2053,185
2054,185
2055,185
2056,185
2057,185
2058,185
2059,185
2060,185
2061,185
2062,185
2063,185
2064,185
2065,185
2066,185
2067,185
2068,185
2069,185
2070,186
2071,186
2072,186
2073,185
2074,185
2075,185
2076,185
2077,185
2078,185
2079,185
2080,185
2081,185
2082,185
2083,186
2084,186
2085,185
2086,185
2087,185
2088,186
2089,186
2090,185
2091,185
2092,185
2093,185
2094,185
2095,185
2096,185
2097,185
2098,186
2099,186
2100,186
2101,186
2102,186
2103,186
2104,186
2105,186
2106,186
2107,186
2108,186
2109,186
2110,187
2111,187
2112,187
2113,187
2114,187
2115,187
2116,187
2117,187
2118,187
2119,187
2120,187
2121,187
2122,187
2123,187
2124,187
2125,187
2126,187
2127,187
2128,187
2129,187
2130,187
2131,187
2132,187
2133,187
2134,187
2135,186
2136,186
2137,186
2138,186
2139,186
2140,185
2141,185
2142,185
2143,185
2144,185
2145,185
2146,185
